"","Var1","Var2","Var3","Freq"
"192","PESCER","NC","16",407
"193","CH","C","17",6225
"194","GAM","C","17",16896
"195","DV","C","17",3700
"196","IZT","C","17",5320
"197","SLT","C","17",24879
"198","PESCER","C","17",1346
"199","CH","NC","17",2710
"200","GAM","NC","17",5607
"201","DV","NC","17",1623
"202","IZT","NC","17",2487
"203","SLT","NC","17",10312
"204","PESCER","NC","17",324
"205","CH","C","18",6686
"206","GAM","C","18",17182
"207","DV","C","18",4496
"208","IZT","C","18",5854
"209","SLT","C","18",24555
"210","PESCER","C","18",1432
"211","CH","NC","18",2596
"212","GAM","NC","18",4997
"213","DV","NC","18",1932
"214","IZT","NC","18",2712
"215","SLT","NC","18",10105
"216","PESCER","NC","18",427
"217","CH","C","19",6950
"218","GAM","C","19",18591
"219","DV","C","19",5026
"220","IZT","C","19",6946
"221","SLT","C","19",25053
"222","PESCER","C","19",1384
"223","CH","NC","19",2424
"224","GAM","NC","19",4863
"225","DV","NC","19",2007
"226","IZT","NC","19",2999
"227","SLT","NC","19",9745
"228","PESCER","NC","19",342
"229","CH","C","20",3487
"230","GAM","C","20",9168
"231","DV","C","20",2559
"232","IZT","C","20",4015
"233","SLT","C","20",11794
"234","PESCER","C","20",322
"235","CH","NC","20",1470
"236","GAM","NC","20",3183
"237","DV","NC","20",1333
"238","IZT","NC","20",1774
"239","SLT","NC","20",4684
"240","PESCER","NC","20",606
"241","CH","C","21",9585
"242","GAM","C","21",26384
"243","DV","C","21",7514
"244","IZT","C","21",11323
"245","SLT","C","21",38172
"246","PESCER","C","21",248
"247","CH","NC","21",2873
"248","GAM","NC","21",7111
"249","DV","NC","21",2623
"250","IZT","NC","21",3689
"251","SLT","NC","21",12502
"252","PESCER","NC","21",570
"253","CH","C","22",3104
"254","GAM","C","22",8335
"255","DV","C","22",2274
"256","IZT","C","22",4060
"257","SLT","C","22",11610
"258","PESCER","C","22",304
"259","CH","NC","22",951
"260","GAM","NC","22",2214
"261","DV","NC","22",863
"262","IZT","NC","22",1284
"263","SLT","NC","22",3440
"264","PESCER","NC","22",188
