"","Materia","MaxIntNuncaCert","MeanIntNuncaCert","ProbCert1a","ModeIntNuncaCert"
"906","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO",9,1.3946587537092,0.746428571428571,1
"1261.1","PROBLEMAS DE LA PRODUCCION Y REPRODUCCION CULTURAL",9,1.47596153846154,0.724324324324324,1
"1089","SEMINARIO DE TESIS I: PROYECTO DE INVESTIGACION",9,1.65822784810127,0.692058346839546,1
"30","ANALISIS CULTURAL",8,1.22,0.739597849890504,1
"50","ANALISIS POLITICO DE COYUNTURA",8,1.36534446764092,0.718986742424242,1
"62","ANTROPOLOGIA DE LA CULTURA Y EL ARTE",8,1.36153846153846,0.716300940438871,1
"71","ARGUMENTACION JURIDICA",8,1.33333333333333,0.66804979253112,1
"167","CONTEMPORANEIDAD DE LA CULTURA Y EL ARTE MESOAMERICANO",8,1.30851063829787,0.71712158808933,1
"183","CRITICA A LA ILUSTRACION",8,1.45748987854251,0.797061269753258,1
"220","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS",8,1.5360824742268,0.728285077951002,1
"1242.1","ECUACIONES DIFERENCIALES ORDINARIAS",8,1.49738219895288,0.657563780093424,1
"332","ENFOQUES CRITICOS EN COMUNICACION",8,1.48628428927681,0.741581259150805,1
"335","ENFOQUES FUNCIONALISTAS EN COMUNICACION",8,1.38444924406048,0.70161662817552,1
"392","ESTUDIOS POSCOLONIALES Y SUBALTERNOS",8,1.41157556270096,0.784991360157986,1
"498","FRANCES I",8,1.16830188679245,0.558120133481646,1
"602","HISTORIA LATINOAMERICANA DEL TIEMPO PRESENTE",8,1.6,0.63304347826087,1
"673","INTRODUCCION A LA METODOLOGIA DE LA INVESTIGACION",8,1.30913348946136,0.719432959243946,1
"677","INTRODUCCION A LA PROMOCION DE LA SALUD",8,1.33333333333333,0.636386639676113,1
"801","MATEMATICAS DISCRETAS",8,1.33808553971487,0.466666666666667,1
"818","METODOLOGIA CUALITATIVA",8,1.41176470588235,0.833049403747871,1
"1032","PUBLICIDAD Y PROPAGANDA",8,1.28716216216216,0.8427624872579,1
"1035","QUIMICA GENERAL",8,1.29435483870968,0.697788697788698,1
"1066","SANEAMIENTO AMBIENTAL",8,1.3974358974359,0.819769749900754,1
"1133","SISTEMAS DE PROTECCION ASISTENCIA Y REHABILITACION DE LA SALUD",8,1.5,0.766620816139386,1
"7","ACTORES SOCIALES Y PARTICIPACION EN LA CIUDAD DE MEXICO",7,1.25641025641026,0.794258373205742,1
"39","ANALISIS DE SISTEMAS DINAMICOS",7,1.609375,0.660194174757282,1
"93","BIOETICA Y VALORES",7,1.59310344827586,0.774927395934172,1
"95","BIOLOGIA CELULAR",7,1.31818181818182,0.663570691434469,1
"130","CIENCIA Y SOCIEDAD",7,1.45522388059702,0.673635307781649,1
"139","CIUDADANIA PARTICIPACION Y REPRESENTACION. APORTES TEORICOS",7,1.43558282208589,0.763464741810105,1
"154","COMUNICACION INTERCULTURAL: SU IMPORTANCIA PARA EL TRABAJO EN LA CULTURA Y EL ARTE",7,1.29145728643216,0.72069825436409,1
"178","CRECIMIENTO Y DESARROLLO II",7,1.38223938223938,0.749540272158882,1
"187","CUENTO I",7,1.36746987951807,0.767460317460318,1
"267","DIVERSIDAD CULTURAL Y ARTISTICA: APRENDIZAJE Y SENSIBILIZACION",7,1.23578947368421,0.681041844577284,1
"322","ELECTRONICA DIGITAL II",7,1.51764705882353,0.717871485943775,1
"336","ENFOQUES SISTEMICOS EN COMUNICACION",7,1.45454545454545,0.827052868391451,1
"432","FILOSOFIA DE LA HISTORIA",7,1.48275862068966,0.605568445475638,1
"470","FILOSOFIAS DEL SIGLO XX",7,1.16806722689076,0.677966101694915,1
"495","FORMAS DE GOBIERNO Y SISTEMAS ELECTORALES EN AMERICA LATINA",7,1.25,0.778578290105668,1
"529","GESTION CULTURAL",7,1.31176470588235,0.714182344428365,1
"628","INFORMATICA EN LAS TELECOMUNICACIONES",7,1.65116279069767,0.704950495049505,1
"649","INTERNACIONALIZACION Y GLOBALIZACION. APORTES TEORICOS",7,1.43172690763052,0.703468979319546,1
"663","INTRODUCCION A LA FISICA",7,1.27261904761905,0.747073498368835,1
"667","INTRODUCCION A LA INGENIERIA EN SISTEMAS",7,1.35574572127139,0.557986870897155,1
"672","INTRODUCCION A LA INVESTIGACION SOCIAL",7,1.51181102362205,0.662291169451074,1
"750","LENGUAJES ARTISTICOS EN EL MEXICO CONTEMPORANEO",7,1.33834586466165,0.829940119760479,1
"819","METODOLOGIA CUANTITATIVA",7,1.32975871313673,0.759095149253731,1
"837","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL",7,1.43850267379679,0.696069469835466,1
"847","MITOS MITOLOGIA Y ARQUETIPOS EN LA LITERATURA",7,1.23711340206186,0.7776,1
"923","PERIODISMO ESCRITO: GENEROS INFORMATIVOS",7,1.26176470588235,0.724842767295597,1
"963","PRACTICA FOTOGRAFICA",7,1.35909090909091,0.866687979539642,1
"1027","PSICOLOGIA DE LA CULTURA Y EL ARTE",7,1.5974025974026,0.750967741935484,1
"1083","SEMINARIO DE INVESTIGACION",7,1.42156862745098,0.73583093179635,1
"1084","SEMINARIO DE INVESTIGACION I",7,1.57407407407407,0.71558768070396,1
"1085","SEMINARIO DE INVESTIGACION II",7,1.51904761904762,0.768998109640832,1
"1097","SEMINARIO DE TITULACION",7,1.51351351351351,0.775541795665635,1
"1125","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES",7,1.45229681978799,0.733521923620933,1
"1132","SISTEMAS DE POTENCIA",7,1.61904761904762,0.717770034843206,1
"1210","TALLER DE LENGUAJE COMUNICACION Y CULTURA",7,1.20842332613391,0.750602409638554,1
"35","ANALISIS DE LAS INDUSTRIAS CULTURALES",6,1.48167539267016,0.686021505376344,1
"86","BIENES Y SUCESIONES",6,1.5045045045045,0.743498817966903,1
"102","BIOQUIMICA I",6,1.37948717948718,0.639825897714907,1
"148","COMPUTACION I",6,1.20852221214869,0.71606648199446,1
"153","COMUNICACION INTERCULTURAL",6,1.30057803468208,0.730166750884285,1
"218","DEMOCRACIA AUTORITARISMO Y VIOLENCIA POLITICA EN AMERICA LATINA",6,1.41666666666667,0.611111111111111,1
"232","DERECHO INTERNACIONAL PUBLICO",6,1.55855855855856,0.633587786259542,1
"265","DISPOSITIVOS ELECTRONICOS I",6,1.45026178010471,0.534257748776509,1
"313","EL USO DE LA TEORIA",6,1.77777777777778,0.785602503912363,1
"337","ENSAYISMO LATINOAMERICANO Y TRANSDISCIPLINARIEDAD",6,1.42175066312997,0.755639097744361,1
"347","EPISTEMOLOGIA CLASICA DE LA CIENCIA",6,1.41666666666667,0.626794258373206,1
"375","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS",6,1.32432432432432,0.779264214046823,1
"381","ESTETICA: INTRODUCCION A LOS PROBLEMAS DE LA ESTETICA Y EL ARTE",6,1.41152263374486,0.738636363636364,1
"382","ESTRUCTURA DE DATOS",6,1.43835616438356,0.607242339832869,1
"387","ESTUDIOS CULTURALES",6,1.33495145631068,0.67937033968517,1
"406","ETICA",6,1.38028169014085,0.62002743484225,1
"434","FILOSOFIA DE LA MENTE",6,1.33734939759036,0.663636363636364,1
"450","FILOSOFIA E HISTORIOGRAFIA MODERNAS",6,1.43396226415094,0.730909090909091,1
"460","FILOSOFIA POLITICA",6,1.39393939393939,0.606010016694491,1
"468","FILOSOFIAS DE LA HISTORIA",6,1.25954198473282,0.696524064171123,1
"500","FRANCES III",6,1.28104575163399,0.669491525423729,1
"530","GESTION CULTURAL Y COMUNICACION",6,1.22885572139303,0.792792792792793,1
"554","HERMENEUTICA HISTORICA",6,1.31914893617021,0.765384615384615,1
"576","HISTORIA DE LAS ARTES",6,1.25138632162662,0.714430550861778,1
"591","HISTORIA DE MEXICO DEL SIGLO XIX",6,1.32592592592593,0.663378545006165,1
"595","HISTORIA DEL DERECHO",6,1.21301775147929,0.721611721611722,1
"600","HISTORIA LATINOAMERICANA DEL SIGLO XIX",6,1.4,0.616107382550336,1
"643","INSTITUCIONES Y GRUPOS SOCIALES",6,1.17982456140351,0.733333333333333,1
"1253.1","INTRODUCCION A LA COMUNICACION I",6,1.31009174311927,0.670836311651179,1
"660","INTRODUCCION A LA CULTURA Y AL ARTE",6,1.2522639068564,0.6039273805113,1
"714","LA RADIO: MEDIO DE EXPRESION",6,1.18421052631579,0.872427983539095,1
"767","LITERATURA Y FRONTERAS",6,1.36470588235294,0.641196013289037,1
"811","MEDIO AMBIENTE Y SALUD",6,1.41724137931034,0.742233727810651,1
"828","METODOS NUMERICOS",6,1.3010752688172,0.740384615384615,1
"857","MODERNIDAD Y CIENCIAS SOCIALES",6,1.46564885496183,0.690502793296089,1
"878","NOVELA II",6,1.36190476190476,0.726229508196721,1
"894","ONTOLOGIA",6,1.3,0.618947368421053,1
"895","OPERACION DEL TRANSPORTE",6,1.46341463414634,0.679442508710801,1
"913","PENSAMIENTO HISTORICO LATINOAMERICANO",6,1.42857142857143,0.710578842315369,1
"992","PROCESAMIENTO DIGITAL DE SEnALES",6,1.64705882352941,0.720812182741117,1
"1006","PRODUCCION EDITORIAL",6,1.29299363057325,0.862660944206009,1
"1262.1","PROGRAMACION ORIENTADA A OBJETOS (PROGRAMACION C++)",6,1.22134387351779,0.611111111111111,1
"1264.1","PSICOLOGIA SOCIAL I",6,1.35593220338983,0.822071171531387,1
"1063","SALUD PUBLICA II",6,1.18446601941748,0.89138423846468,1
"1124","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS",6,1.16455696202532,0.770034843205575,1
"1154","SOCIALIZACION Y PROYECCION DE LA CULTURA Y EL ARTE",6,1.36428571428571,0.746320953048353,1
"1195","TALLER DE ARTES VISUALES I",6,1.31707317073171,0.799750467872739,1
"1224","TALLER DE TEORIA Y METODOS CUANTITATIVOS",6,1.67567567567568,0.630094043887147,1
"1226","TECNICAS ARTISTICAS",6,1.22591362126246,0.67728813559322,1
"1253","TEORIA DE LOS CIRCUITOS",6,1.64179104477612,0.445754716981132,1
"1256","TEORIA DEL CONOCIMIENTO",6,1.37234042553191,0.635531135531135,1
"1258","TEORIA DEL FLUJO DE TRAFICO",6,1.59459459459459,0.536170212765957,1
"5","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL. APORTES TEORICOS",5,1.28326180257511,0.731794538361508,1
"11","ADMINISTRACION DE LA CIUDAD DE MEXICO",5,1.22996515679443,0.778992395437262,1
"15","ADMINISTRACION PARA LA SALUD",5,1.35064935064935,0.866011381272633,1
"26","ALGEBRA Y GEOMETRIA ANALITICA (SALUD)",5,1.28301886792453,0.382695507487521,1
"33","ANALISIS DE DATOS DEL TRANSPORTE",5,1.7027027027027,0.744615384615385,1
"36","ANALISIS DE POLITICAS PUBLICAS",5,1.18794326241135,0.784241868987632,1
"48","ANALISIS POLITICO CON METODOS CUALITATIVOS",5,1.32869080779944,0.757784583971414,1
"92","BIOETICA",5,1.23636363636364,0.749063670411985,1
"118","CAMBIO Y REPRODUCCION SOCIAL",5,1.55421686746988,0.737704918032787,1
"149","COMPUTACION II",5,1.17587939698492,0.760484622553588,1
"152","COMUNICACION GRAFICA Y DISEnO EDITORIAL",5,1.28658536585366,0.870171673819742,1
"155","COMUNICACION ORGANIZACIONAL E INSTITUCIONAL",5,1.22393822393822,0.758351101634684,1
"156","COMUNICACION PARA EL DESARROLLO",5,1.20103092783505,0.81335436382755,1
"163","CONCENTRADORES SWITCHES Y RUTEADORES",5,1.53571428571429,0.724279835390947,1
"190","CUENTO III",5,1.44,0.755775577557756,1
"200","CULTURA Y PODER",5,1.48795180722892,0.857435597189696,1
"211","DECISION POLITICA Y POLITICAS PUBLICAS",5,1.33055555555556,0.755134281200632,1
"233","DERECHO LABORAL",5,1.25862068965517,0.841523341523342,1
"266","DISPOSITIVOS ELECTRONICOS II",5,1.38028169014085,0.747401247401247,1
"270","DRAMATURGIA I",5,1.27586206896552,0.815581854043392,1
"296","EL CONOCIMIENTO DE LA REALIDAD SOCIAL",5,1.38372093023256,0.7359900373599,1
"319","ELECTRONICA DE POTENCIA I",5,1.32142857142857,0.761306532663317,1
"339","ENSAYO LITERARIO",5,1.24460431654676,0.692421991084695,1
"341","ENUNCIACION Y VOCES DEL RELATO",5,1.41509433962264,0.764015645371578,1
"377","ESTETICA",5,1.28703703703704,0.669064748201439,1
"383","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO",5,1.31195335276968,0.787055335968379,1
"422","FARMACOLOGIA Y TOXICOLOGIA",5,1.36363636363636,0.688644688644689,1
"453","FILOSOFIA LATINOAMERICANA",5,1.22950819672131,0.588132635253054,1
"474","FINANZAS PUBLICAS Y PRESUPUESTACION",5,1.24311926605505,0.836162652980655,1
"481","FISICA I",5,1.50279329608939,0.076555023923445,1
"491","FORMACION HISTORICA DE AMERICA LATINA",5,1.17333333333333,0.728205128205128,1
"519","GENETICA",5,1.27272727272727,0.793556085918854,1
"542","GOBIERNO Y PODER EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS",5,1.3,0.736842105263158,1
"544","GRAMATICA Y CREACION",5,1.34285714285714,0.729145211122554,1
"555","HERMENEUTICA Y FENOMENOLOGIA",5,1.2289156626506,0.631455399061033,1
"584","HISTORIA DE LAS IDEAS EDUCATIVAS",5,1.25490196078431,0.737609329446064,1
"592","HISTORIA DE MEXICO DEL SIGLO XX",5,1.4952380952381,0.710182767624021,1
"601","HISTORIA LATINOAMERICANA DEL SIGLO XX",5,1.45185185185185,0.573573573573574,1
"621","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL",5,1.28645833333333,0.782143979880541,1
"623","IMPACTO DE LA GLOBALIZACION EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS",5,1.30876494023904,0.710228919153868,1
"631","INGENIERIA DE PAVIMENTOS",5,1.59649122807018,0.560773480662983,1
"670","INTRODUCCION A LA INGENIERIA EN SISTEMAS ELECTRONICOS Y DE TELECOMUNICACIONES",5,1.21212121212121,0.585365853658537,1
"701","LA EXPLICACION EN CIENCIAS SOCIALES",5,1.33928571428571,0.75448275862069,1
"729","LAS COSMOVISIONES DE LA CIENCIA Y LAS HUMANIDADES",5,1.43478260869565,0.439271255060729,1
"740","LEGISLACION DEL PATRIMONIO CULTURAL Y ARTISTICO",5,1.41899441340782,0.666249217282404,1
"765","LITERATURA MUNDIAL CONTEMPORANEA",5,1.25471698113208,0.709106984969054,1
"768","LITERATURAS ANGLOFONAS",5,1.4,0.761904761904762,1
"777","LOGICA I",5,1.2710843373494,0.643031784841076,1
"785","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS",5,1.32258064516129,0.831339031339031,1
"794","MARCO JURIDICO DE LA ADMINISTRACION PUBLICA",5,1.42631578947368,0.814814814814815,1
"1255.1","MATEMATICAS I",5,1.41333333333333,0.252525252525253,1
"830","METODOS PARA EL ANALISIS DE PROCESOS DE COMUNICACION INTERPERSONAL",5,1.32163742690058,0.84668071654373,1
"831","METODOS PARA EL ANALISIS DE PROCESOS SOCIOCULTURALES",5,1.31666666666667,0.80952380952381,1
"833","METODOS Y TECNICAS DE INVESTIGACION",5,1.16867469879518,0.772222222222222,1
"842","MICROBIOLOGIA",5,1.2015503875969,0.762874251497006,1
"877","NOVELA I",5,1.47517730496454,0.714980544747082,1
"885","NUEVAS TECNOLOGIAS DE INFORMACION Y COMUNICACION",5,1.24603174603175,0.655685441020191,1
"897","OPTICA Y ACUSTICA",5,1.13698630136986,0.863808322824716,1
"900","ORGANIZACION Y AGENTES SOCIALES",5,1.31730769230769,0.765381853004549,1
"914","PENSAMIENTO ISLAMICO-LATINO",5,1.31578947368421,0.687793427230047,1
"924","PERIODISMO LITERARIO Y DE INVESTIGACION",5,1.37837837837838,0.716992665036675,1
"930","PLANEACION DE LA COMUNICACION",5,1.15183246073298,0.855330955212049,1
"952","POLITICA ECONOMICA Y DISTRIBUTIVA",5,1.32547169811321,0.808681672025723,1
"958","POLITICAS CULTURALES",5,1.5,0.696785403996525,1
"968","PRIMERAS FILOSOFIAS",5,1.32380952380952,0.717206132879046,1
"969","PRIMERAS ONTOLOGIAS",5,1.22764227642276,0.644736842105263,1
"1260.1","PROBLEMAS DE HISTORIA CONTEMPORANEOS I",5,1.18857142857143,0.693107932379714,1
"990","PROBLEMAS JURIDICOS CONTEMPORANEOS",5,1.18604651162791,0.692525481313703,1
"1023","PROYECTOS CULTURALES",5,1.35766423357664,0.771050800278358,1
"1265.1","SALUD COMUNITARIA I",5,1.41428571428571,0.804577464788732,1
"1079","SEMINARIO DE DISEnO DE PROYECTOS DE TITULACION",5,1.4875,0.721875,1
"1091","SEMINARIO DE TESIS II: PROCESO DE INVESTIGACION",5,1.2,0.667481662591687,1
"1118","SIGNIFICACION CULTURA Y ARTE",5,1.46551724137931,0.689887640449438,1
"1137","SISTEMAS DE TELEVISION",5,1.36842105263158,0.813025210084034,1
"1165","SOCIOLOGIA DE LA CULTURA Y EL ARTE",5,1.50952380952381,0.692814765985498,1
"1166","SOCIOLOGIA DE LA LITERATURA",5,1.40384615384615,0.674698795180723,1
"1174","TALLER DE ANALISIS DE ARGUMENTOS",5,1.16,0.701137538779731,1
"1187","TALLER DE ARTES LITERARIAS I",5,1.25,0.776585365853659,1
"1191","TALLER DE ARTES POPULARES I",5,1.34146341463415,0.853347502656748,1
"1203","TALLER DE GESTION CULTURAL",5,1.26086956521739,0.866740088105727,1
"1204","TALLER DE HERMENEUTICA CRITICA",5,1.3030303030303,0.807339449541284,1
"1212","TALLER DE METODOS CUALITATIVOS",5,1.39423076923077,0.68452380952381,1
"1225","TALLER DE TESIS",5,1.42857142857143,0.717948717948718,1
"1250","TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL",5,1.31223628691983,0.728845633955123,1
"1259","TEORIA ECONOMICA DEL TRANSPORTE",5,1.25806451612903,0.628019323671498,1
"1260","TEORIA ELECTROMAGNETICA",5,1.21666666666667,0.751169317118803,1
"1272","TEORIA Y SOCIOLOGIA DEL CONOCIMIENTO",5,1.58870967741935,0.143617021276596,1
"1282","TESIS",5,1.35869565217391,0.807980049875312,1
"19","ADQUISICION Y MANIPULACION DE DATOS",4,1.28571428571429,0.816176470588235,1
"28","ANALISIS CUALITATIVO",4,1.16216216216216,0.816537467700258,1
"29","ANALISIS CUANTITATIVO",4,1.2093023255814,0.799102132435466,1
"38","ANALISIS DE SEnALES",4,1.35944700460829,0.563435776201734,1
"49","ANALISIS POLITICO CON METODOS CUANTITATIVOS",4,1.28384279475983,0.774107932763197,1
"65","ANTROPOLOGIA FILOSOFICA",4,1.41353383458647,0.609665427509294,1
"90","BIOESTADISTICA I",4,1.23417721518987,0.687022900763359,1
"91","BIOESTADISTICA II",4,1.23636363636364,0.806640625,1
"99","BIOLOGIA MOLECULAR II",4,1.3448275862069,0.640350877192982,1
"103","BIOQUIMICA II",4,1.18125,0.700699300699301,1
"158","COMUNICACION POLITICA",4,1.20114942528736,0.828091339939681,1
"160","COMUNICACIONES ANALOGICAS Y DIGITALES",4,1.52777777777778,0.74559686888454,1
"172","CORRECCION DE ESTILO EDITORIAL",4,1.15555555555556,0.774436090225564,1
"175","CREACION LITERARIA",4,1.12,0.790469973890339,1
"185","CRITICA LITERARIA",4,1.23404255319149,0.680061823802164,1
"188","CUENTO II",4,1.27731092436975,0.730140186915888,1
"191","CUENTO IV",4,1.14,0.808314087759815,1
"201","CULTURA Y SOCIEDAD",4,1.14678899082569,0.727156549520767,1
"208","DE ALTEPETL AL AYUNTAMIENTO CONSTITUCIONAL. TIERRA Y GOBIERNO DE LOS PUEBLOS",4,1.6,0.416666666666667,1
"223","DERECHO AGRARIO",4,1.15094339622642,0.860164512338425,1
"225","DERECHO CINE Y LITERATURA",4,1.12121212121212,0.721686746987952,1
"228","DERECHO FISCAL",4,1.30392156862745,0.721437740693196,1
"231","DERECHO INTERNACIONAL PRIVADO",4,1.37974683544304,0.737864077669903,1
"256","DISEnO DE CONTROLADORES",4,1.125,0.710691823899371,1
"263","DISEnO Y CREACION DE PRODUCTOS MULTIMEDIA",4,1.18604651162791,0.671052631578947,1
"268","DIVERSIDAD Y SOCIALIZACION",4,1.13725490196078,0.736804049168474,1
"272","ECOLOGIA Y CAMBIO CLIMATICO",4,1.58333333333333,0.45,1
"307","EL PROBLEMA DE LA ALTERIDAD",4,1.35365853658537,0.770207852193995,1
"326","ELEMENTOS BASICOS DEL DERECHO",4,1.1673640167364,0.594680177327422,1
"345","EPIDEMIOLOGIA II",4,1.19354838709677,0.888977955911824,1
"356","ERGONOMIA EN EL TRANSPORTE",4,1.6,0.825136612021858,1
"364","ESPAnOL SUPERIOR: PARADIGMAS VERBALES",4,1.12,0.801923076923077,1
"379","ESTETICA LITERARIA CONTEMPORANEA",4,1.17777777777778,0.702857142857143,1
"417","EVALUACION DEL ESTADO DE NUTRICION",4,1.14285714285714,0.853131749460043,1
"424","FILOSOFIA CLASICA DEL LENGUAJE",4,1.25842696629213,0.582417582417582,1
"426","FILOSOFIA DE LA CULTURA",4,1.22857142857143,0.781914893617021,1
"442","FILOSOFIA DEL DERECHO",4,1.34567901234568,0.773006134969325,1
"443","FILOSOFIA DEL DERECHO Y DEL ESTADO",4,1.31192660550459,0.546623794212219,1
"451","FILOSOFIA FEMINISTA",4,1.25,0.741648106904232,1
"463","FILOSOFIA Y ARTE",4,1.38095238095238,0.683544303797468,1
"475","FISICA DE LA CELULA",4,1.528,0.316037735849057,1
"496","FORMULACION Y EVALUACION DE PROYECTOS",4,1.24074074074074,0.714285714285714,1
"510","FUNDAMENTOS DE MATEMATICAS PARA EL MEDIO AMBIENTE",4,1.3125,0.604395604395604,1
"511","FUNDAMENTOS Y DETERMINANTES DE LA NUTRICION",4,1.17894736842105,0.793148880105402,1
"547","GUION II",4,1.20833333333333,0.84593837535014,1
"562","HISTORIA DE LA CIUDAD DE MEXICO DEL SIGLO XVIII AL SIGLO XX 1753 A 1928",4,1.42857142857143,0.63265306122449,1
"567","HISTORIA DE LA FILOSOFIA II",4,1.26666666666667,0.777777777777778,1
"568","HISTORIA DE LA FILOSOFIA III",4,1.27027027027027,0.640287769784173,1
"575","HISTORIA DE LA SALUD EN AMERICA LATINA SIGLOS XIX Y XX",4,1.33333333333333,0.770642201834862,1
"603","HISTORIA MUNDIAL DEL SIGLO XIX",4,1.28571428571429,0.576407506702413,1
"605","HISTORIA MUNDIAL DEL TIEMPO PRESENTE",4,1.36231884057971,0.693877551020408,1
